"experiment","dataset","VIF","SCD","MI","Qabf","SSIM","MS_SSIM","FMI"
"OfficialPyTorch","MSRS","1.06088618156829","1.70023695182964","5.10993243051876","0.71524449674838","0.980834889286468","0.975079283852277","0.932670037366345"
"OfficialPyTorch","M3FD_2x","0.759280995321528","1.66012680128677","3.77017223346511","0.653654616328185","0.964489947360751","0.923058917386689","0.882748475177807"
"OfficialPyTorch","TNO","0.835492206200169","1.7244954966958","3.50801170636329","0.587576794188817","0.931755515269973","0.904369411997118","0.914383210269708"
"OfficialJittor","MSRS","1.06089550833546","1.70020508927228","5.11083911211227","0.715260618045203","0.980833927397879","0.97508040124125","0.9326693992436"
"OfficialJittor","M3FD_2x","0.759335174454151","1.66008595768528","3.77083311104812","0.653688855362055","0.964494663286036","0.923054672928329","0.882751787904738"
"OfficialJittor","TNO","0.835515375534199","1.72450602669135","3.50711206093319","0.587575338329954","0.931762035138029","0.90437157119684","0.914384004579895"
"PyTorchSelfTrained","MSRS","1.05156961245039","1.70379454826198","5.04307908667298","0.70981433977072","0.979919079180194","0.974917762002898","0.932429800428166"
"PyTorchSelfTrained","M3FD_2x","0.739027404782821","1.72396029016265","3.54656120439899","0.649051369371838","0.968318748676322","0.934148159718615","0.880839898942591"
"PyTorchSelfTrained","TNO","0.799915154709755","1.75452801005885","3.16245461380501","0.577162557335859","0.946519880054498","0.917269077636516","0.91197217926581"
"JittorSelfTrained","MSRS","1.06628861749619","1.69085934448371","5.46050400704359","0.710271225385783","0.973810229887843","0.971632182491413","0.932555524275801"
"JittorSelfTrained","M3FD_2x","0.725593174838937","1.67016148047432","3.86433290655513","0.629573015951506","0.962757051464399","0.923434183795524","0.878365031461108"
"JittorSelfTrained","TNO","0.802736583795264","1.73684304020553","3.33437772664825","0.567382252016643","0.947852270200331","0.915246304715316","0.911661656388683"
"ControlledPyTorch","MSRS","1.05523691063071","1.71454071631123","5.13040018014827","0.710142821143863","0.978958197314627","0.974891502350796","0.932376716914813"
"ControlledPyTorch","M3FD_2x","0.747906097642174","1.71094839900426","3.7747272798105","0.64922827882509","0.966980710668807","0.931367007819588","0.881405391283464"
"ControlledPyTorch","TNO","0.790482454953744","1.75000031351154","3.09483712018539","0.567955862888695","0.944528383017995","0.918185282132817","0.91217655634072"
"ControlledJittor","MSRS","1.06605189841636","1.70711749536828","5.28961422846064","0.712088291982291","0.975138874801651","0.972078668335256","0.932299039081459"
"ControlledJittor","M3FD_2x","0.74528434943283","1.7020146800353","3.80607279903795","0.642968872596888","0.963599708542854","0.928666308347315","0.880172660172331"
"ControlledJittor","TNO","0.82091300251327","1.74182552679168","3.15379781058736","0.57055055281301","0.937843440861328","0.911942577835124","0.912216069505987"
